region,count,per100k,date
Svedala,129,640,2014-04-01
Svenljunga,60,581,2014-04-01
Säffle,138,902,2014-04-01
Säter,62,570,2014-04-01
Sävsjö,87,788,2014-04-01
Söderhamn,240,943,2014-04-01
Söderköping,85,597,2014-04-01
Södertälje,1099,1199,2014-04-01
Sölvesborg,88,521,2014-04-01
Tanum,64,519,2014-04-01
Tibro,56,518,2014-04-01
Tidaholm,102,810,2014-04-01
Tierp,136,673,2014-04-01
Timrå,115,637,2014-04-01
Tingsryd,66,542,2014-04-01
Tjörn,80,530,2014-04-01
Tomelilla,100,772,2014-04-01
Torsby,89,742,2014-04-01
Torsås,45,652,2014-04-01
Tranemo,46,397,2014-04-01
Tranås,132,721,2014-04-01
Trelleborg,407,949,2014-04-01
Trollhättan,657,1158,2014-04-01
Trosa,112,951,2014-04-01
Tyresö,381,850,2014-04-01
Täby,502,751,2014-04-01
Töreboda,129,1428,2014-04-01
Uddevalla,510,957,2014-04-01
Ulricehamn,170,732,2014-04-01
Umeå,769,646,2014-04-01
Upplands Väsby,452,1086,2014-04-01
Upplands-Bro,235,940,2014-04-01
Uppsala,1926,934,2014-04-01
Uppvidinge,62,670,2014-04-01
Vadstena,33,447,2014-04-01
Vaggeryd,75,567,2014-04-01
Valdemarsvik,37,486,2014-04-01
Vallentuna,276,868,2014-04-01
Vansbro,24,358,2014-04-01
Vara,148,949,2014-04-01
Varberg,465,773,2014-04-01
Vaxholm,63,560,2014-04-01
Vellinge,136,400,2014-04-01
Vetlanda,136,513,2014-04-01
Vilhelmina,22,320,2014-04-01
Vimmerby,84,549,2014-04-01
Vindeln,18,336,2014-04-01
Vingåker,58,653,2014-04-01
Vårgårda,108,975,2014-04-01
Vänersborg,332,882,2014-04-01
Vännäs,30,349,2014-04-01
Värmdö,337,839,2014-04-01
Värnamo,200,602,2014-04-01
Västervik,269,749,2014-04-01
Västerås,1656,1159,2014-04-01
Växjö,771,892,2014-04-01
Ydre,2,55,2014-04-01
Ystad,229,798,2014-04-01
Åmål,69,562,2014-04-01
Ånge,56,588,2014-04-01
Åre,143,1364,2014-04-01
Årjäng,67,678,2014-04-01
Åsele,7,245,2014-04-01
Åstorp,180,1200,2014-04-01
Åtvidaberg,51,445,2014-04-01
Älmhult,104,657,2014-04-01
Älvdalen,33,466,2014-04-01
Älvkarleby,70,765,2014-04-01
Älvsbyn,45,551,2014-04-01
Ängelholm,296,739,2014-04-01
Öckerö,60,476,2014-04-01
Ödeshög,18,346,2014-04-01
Örebro,1699,1200,2014-04-01
Örkelljunga,128,1321,2014-04-01
Örnsköldsvik,464,842,2014-04-01
Östersund,583,968,2014-04-01
Österåker,331,811,2014-04-01
Östhammar,118,552,2014-04-01
Östra Göinge,82,595,2014-04-01
Överkalix,7,205,2014-04-01
Övertorneå,19,403,2014-04-01
Ale,199,695,2015-04-01
Alingsås,348,883,2015-04-01
Alvesta,135,691,2015-04-01
Aneby,36,555,2015-04-01
Arboga,144,1048,2015-04-01
Arjeplog,7,242,2015-04-01
Arvidsjaur,30,463,2015-04-01
Arvika,264,1023,2015-04-01
Askersund,87,781,2015-04-01
Avesta,223,995,2015-04-01
Bengtsfors,123,1282,2015-04-01
Berg,37,525,2015-04-01
Bjurholm,20,816,2015-04-01
Bjuv,148,991,2015-04-01
Boden,158,566,2015-04-01
Bollebygd,54,619,2015-04-01
Bollnäs,179,676,2015-04-01
Borgholm,42,393,2015-04-01
Borlänge,531,1044,2015-04-01
Borås,1008,935,2015-04-01
Botkyrka,1202,1348,2015-04-01
Boxholm,19,357,2015-04-01
Bromölla,95,763,2015-04-01
Bräcke,33,511,2015-04-01
Burlöv,174,1005,2015-04-01
Båstad,141,979,2015-04-01
Dals-Ed,27,565,2015-04-01
Danderyd,342,1057,2015-04-01
Degerfors,99,1038,2015-04-01
Dorotea,12,437,2015-04-01
Eda,99,1168,2015-04-01
Ekerö,162,604,2015-04-01
Eksjö,155,928,2015-04-01
Emmaboda,86,950,2015-04-01
Enköping,445,1072,2015-04-01
Eskilstuna,1388,1368,2015-04-01
Eslöv,311,963,2015-04-01
Essunga,27,485,2015-04-01
Fagersta,104,787,2015-04-01
Falkenberg,431,1010,2015-04-01
Falköping,258,798,2015-04-01
Falun,377,662,2015-04-01
Filipstad,172,1620,2015-04-01
Finspång,174,822,2015-04-01
Flen,267,1634,2015-04-01
Forshaga,54,475,2015-04-01
Färgelanda,36,554,2015-04-01
Gagnef,39,388,2015-04-01
Gislaved,197,679,2015-04-01
Gnesta,81,766,2015-04-01
Gnosjö,56,589,2015-04-01
Gotland,433,755,2015-04-01
Grums,96,1072,2015-04-01
Grästorp,36,639,2015-04-01
Gullspång,60,1146,2015-04-01
Gällivare,80,440,2015-04-01
Gävle,1077,1092,2015-04-01
Göteborg,8635,1585,2015-04-01
Götene,90,686,2015-04-01
Habo,41,366,2015-04-01
Hagfors,92,775,2015-04-01
Hallsberg,138,895,2015-04-01
