Region;Brott;År;Period;Antal;/100 000 inv
Borgholm kommun;Stöldbrott;2016 prel.;Okt;12;112;
Borgholm kommun;Bilbrott;2016 prel.;Okt;5;47;
Borgholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;10;94;
Borgholm kommun;Vissa trafikbrott;2016 prel.;Okt;5;47;
Borgholm kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;2;19;
Borgholm kommun;Vapenbrott;2016 prel.;Okt;0;0;
Borlänge kommun;Totalt antal brott;2016 prel.;Okt;561;1100;
Borlänge kommun;Våldsbrott ;2016 prel.;Okt;52;102;
Borlänge kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;58;114;
Borlänge kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;10;20;
Borlänge kommun;Stöldbrott;2016 prel.;Okt;245;481;
Borlänge kommun;Bilbrott;2016 prel.;Okt;51;100;
Borlänge kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;68;133;
Borlänge kommun;Vissa trafikbrott;2016 prel.;Okt;40;78;
Borlänge kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;31;61;
Borlänge kommun;Vapenbrott;2016 prel.;Okt;5;10;
Borås kommun;Totalt antal brott;2016 prel.;Okt;1222;1126;
Borås kommun;Våldsbrott ;2016 prel.;Okt;103;95;
Borås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;149;137;
Borås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;3;3;
Borås kommun;Stöldbrott;2016 prel.;Okt;381;351;
Borås kommun;Bilbrott;2016 prel.;Okt;111;102;
Borås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;102;94;
Borås kommun;Vissa trafikbrott;2016 prel.;Okt;124;114;
Borås kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;194;179;
Borås kommun;Vapenbrott;2016 prel.;Okt;31;29;
Botkyrka kommun;Totalt antal brott;2016 prel.;Okt;1222;1367;
Botkyrka kommun;Våldsbrott ;2016 prel.;Okt;122;136;
Botkyrka kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;146;163;
Botkyrka kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;11;12;
Botkyrka kommun;Stöldbrott;2016 prel.;Okt;361;404;
Botkyrka kommun;Bilbrott;2016 prel.;Okt;70;78;
Botkyrka kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;172;192;
Botkyrka kommun;Vissa trafikbrott;2016 prel.;Okt;100;112;
Botkyrka kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;134;150;
Botkyrka kommun;Vapenbrott;2016 prel.;Okt;20;22;
Boxholm kommun;Totalt antal brott;2016 prel.;Okt;36;676;
Boxholm kommun;Våldsbrott ;2016 prel.;Okt;3;56;
Boxholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;3;56;
Boxholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;19;
Boxholm kommun;Stöldbrott;2016 prel.;Okt;11;206;
Boxholm kommun;Bilbrott;2016 prel.;Okt;1;19;
Boxholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;4;75;
Boxholm kommun;Vissa trafikbrott;2016 prel.;Okt;4;75;
Boxholm kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;7;131;
Boxholm kommun;Vapenbrott;2016 prel.;Okt;1;19;
Bromölla kommun;Totalt antal brott;2016 prel.;Okt;74;591;
Bromölla kommun;Våldsbrott ;2016 prel.;Okt;7;56;
Bromölla kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;18;144;
Bromölla kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;2;16;
Bromölla kommun;Stöldbrott;2016 prel.;Okt;22;176;
Bromölla kommun;Bilbrott;2016 prel.;Okt;4;32;
Bromölla kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;11;88;
Bromölla kommun;Vissa trafikbrott;2016 prel.;Okt;10;80;
Bromölla kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;1;8;
Bromölla kommun;Vapenbrott;2016 prel.;Okt;0;0;
Bräcke kommun;Totalt antal brott;2016 prel.;Okt;21;325;
Bräcke kommun;Våldsbrott ;2016 prel.;Okt;1;15;
Bräcke kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;2;31;
Bräcke kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;0;0;
Bräcke kommun;Stöldbrott;2016 prel.;Okt;6;93;
Bräcke kommun;Bilbrott;2016 prel.;Okt;3;46;
Bräcke kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;2;31;
Bräcke kommun;Vissa trafikbrott;2016 prel.;Okt;5;77;
Bräcke kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;1;15;
Bräcke kommun;Vapenbrott;2016 prel.;Okt;0;0;
Burlöv kommun;Totalt antal brott;2016 prel.;Okt;194;1113;
Burlöv kommun;Våldsbrott ;2016 prel.;Okt;18;103;
Burlöv kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;22;126;
Burlöv kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;6;
Burlöv kommun;Stöldbrott;2016 prel.;Okt;70;402;
Burlöv kommun;Bilbrott;2016 prel.;Okt;9;52;
Burlöv kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;21;120;
Burlöv kommun;Vissa trafikbrott;2016 prel.;Okt;27;155;
Burlöv kommun;Alkohol- och narkotikabrott;2016 prel.;Okt;15;86;
Burlöv kommun;Vapenbrott;2016 prel.;Okt;4;23;
Båstad kommun;Totalt antal brott;2016 prel.;Okt;134;932;
Båstad kommun;Våldsbrott ;2016 prel.;Okt;6;42;
Båstad kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Okt;5;35;
Båstad kommun;Vårdslöshet- och vållandebrott;2016 prel.;Okt;1;7;
Båstad kommun;Stöldbrott;2016 prel.;Okt;48;334;
Båstad kommun;Bilbrott;2016 prel.;Okt;9;63;
Båstad kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Okt;5;35;
