Region;Brott;År;Period;Antal;/100 000 inv
Bjurholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;1;41;
Bjurholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Bjurholm kommun;Stöldbrott;2016 prel.;Jan;4;163;
Bjurholm kommun;Bilbrott;2016 prel.;Jan;0;0;
Bjurholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;0;0;
Bjurholm kommun;Vissa trafikbrott;2016 prel.;Jan;1;41;
Bjurholm kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;0;0;
Bjurholm kommun;Vapenbrott;2016 prel.;Jan;0;0;
Bjuv kommun;Totalt antal brott;2016 prel.;Jan;120;802;
Bjuv kommun;Våldsbrott ;2016 prel.;Jan;9;60;
Bjuv kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;21;140;
Bjuv kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;7;
Bjuv kommun;Stöldbrott;2016 prel.;Jan;40;267;
Bjuv kommun;Bilbrott;2016 prel.;Jan;8;53;
Bjuv kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;16;107;
Bjuv kommun;Vissa trafikbrott;2016 prel.;Jan;7;47;
Bjuv kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;3;20;
Bjuv kommun;Vapenbrott;2016 prel.;Jan;2;13;
Boden kommun;Totalt antal brott;2016 prel.;Jan;190;681;
Boden kommun;Våldsbrott ;2016 prel.;Jan;40;143;
Boden kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;22;79;
Boden kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;4;
Boden kommun;Stöldbrott;2016 prel.;Jan;43;154;
Boden kommun;Bilbrott;2016 prel.;Jan;11;39;
Boden kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;14;50;
Boden kommun;Vissa trafikbrott;2016 prel.;Jan;11;39;
Boden kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;22;79;
Boden kommun;Vapenbrott;2016 prel.;Jan;1;4;
Bollebygd kommun;Totalt antal brott;2016 prel.;Jan;38;432;
Bollebygd kommun;Våldsbrott ;2016 prel.;Jan;0;0;
Bollebygd kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;1;11;
Bollebygd kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Bollebygd kommun;Stöldbrott;2016 prel.;Jan;15;170;
Bollebygd kommun;Bilbrott;2016 prel.;Jan;8;91;
Bollebygd kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;8;91;
Bollebygd kommun;Vissa trafikbrott;2016 prel.;Jan;6;68;
Bollebygd kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;3;34;
Bollebygd kommun;Vapenbrott;2016 prel.;Jan;3;34;
Bollnäs kommun;Totalt antal brott;2016 prel.;Jan;204;767;
Bollnäs kommun;Våldsbrott ;2016 prel.;Jan;19;71;
Bollnäs kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;18;68;
Bollnäs kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;3;11;
Bollnäs kommun;Stöldbrott;2016 prel.;Jan;60;226;
Bollnäs kommun;Bilbrott;2016 prel.;Jan;18;68;
Bollnäs kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;12;45;
Bollnäs kommun;Vissa trafikbrott;2016 prel.;Jan;18;68;
Bollnäs kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;54;203;
Bollnäs kommun;Vapenbrott;2016 prel.;Jan;2;8;
Borgholm kommun;Totalt antal brott;2016 prel.;Jan;92;861;
Borgholm kommun;Våldsbrott ;2016 prel.;Jan;9;84;
Borgholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;48;449;
Borgholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Borgholm kommun;Stöldbrott;2016 prel.;Jan;6;56;
Borgholm kommun;Bilbrott;2016 prel.;Jan;1;9;
Borgholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;7;66;
Borgholm kommun;Vissa trafikbrott;2016 prel.;Jan;8;75;
Borgholm kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;9;84;
Borgholm kommun;Vapenbrott;2016 prel.;Jan;1;9;
Borlänge kommun;Totalt antal brott;2016 prel.;Jan;580;1138;
Borlänge kommun;Våldsbrott ;2016 prel.;Jan;60;118;
Borlänge kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;82;161;
Borlänge kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;8;16;
Borlänge kommun;Stöldbrott;2016 prel.;Jan;224;439;
Borlänge kommun;Bilbrott;2016 prel.;Jan;56;110;
Borlänge kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;41;80;
Borlänge kommun;Vissa trafikbrott;2016 prel.;Jan;42;82;
Borlänge kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;36;71;
Borlänge kommun;Vapenbrott;2016 prel.;Jan;6;12;
Borås kommun;Totalt antal brott;2016 prel.;Jan;946;872;
Borås kommun;Våldsbrott ;2016 prel.;Jan;84;77;
Borås kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;146;135;
Borås kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;9;8;
Borås kommun;Stöldbrott;2016 prel.;Jan;308;284;
Borås kommun;Bilbrott;2016 prel.;Jan;57;53;
Borås kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;99;91;
Borås kommun;Vissa trafikbrott;2016 prel.;Jan;68;63;
Borås kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;131;121;
Borås kommun;Vapenbrott;2016 prel.;Jan;17;16;
Botkyrka kommun;Totalt antal brott;2016 prel.;Jan;1137;1271;
Botkyrka kommun;Våldsbrott ;2016 prel.;Jan;111;124;
Botkyrka kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;133;149;
Botkyrka kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;9;10;
Botkyrka kommun;Stöldbrott;2016 prel.;Jan;282;315;
Botkyrka kommun;Bilbrott;2016 prel.;Jan;57;64;
Botkyrka kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;244;273;
Botkyrka kommun;Vissa trafikbrott;2016 prel.;Jan;68;76;
Botkyrka kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;193;216;
Botkyrka kommun;Vapenbrott;2016 prel.;Jan;16;18;
Boxholm kommun;Totalt antal brott;2016 prel.;Jan;32;601;
Boxholm kommun;Våldsbrott ;2016 prel.;Jan;3;56;
Boxholm kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;0;0;
Boxholm kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Boxholm kommun;Stöldbrott;2016 prel.;Jan;19;357;
Boxholm kommun;Bilbrott;2016 prel.;Jan;3;56;
Boxholm kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;3;56;
Boxholm kommun;Vissa trafikbrott;2016 prel.;Jan;0;0;
Boxholm kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;0;0;
Boxholm kommun;Vapenbrott;2016 prel.;Jan;0;0;
Bromölla kommun;Totalt antal brott;2016 prel.;Jan;97;775;
Bromölla kommun;Våldsbrott ;2016 prel.;Jan;12;96;
Bromölla kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;17;136;
Bromölla kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Bromölla kommun;Stöldbrott;2016 prel.;Jan;23;184;
Bromölla kommun;Bilbrott;2016 prel.;Jan;11;88;
Bromölla kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;22;176;
Bromölla kommun;Vissa trafikbrott;2016 prel.;Jan;7;56;
Bromölla kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;9;72;
Bromölla kommun;Vapenbrott;2016 prel.;Jan;2;16;
Bräcke kommun;Totalt antal brott;2016 prel.;Jan;56;868;
Bräcke kommun;Våldsbrott ;2016 prel.;Jan;6;93;
Bräcke kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;3;46;
Bräcke kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;0;0;
Bräcke kommun;Stöldbrott;2016 prel.;Jan;8;124;
Bräcke kommun;Bilbrott;2016 prel.;Jan;0;0;
Bräcke kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;2;31;
Bräcke kommun;Vissa trafikbrott;2016 prel.;Jan;1;15;
Bräcke kommun;Alkohol- och narkotikabrott;2016 prel.;Jan;4;62;
Bräcke kommun;Vapenbrott;2016 prel.;Jan;1;15;
Burlöv kommun;Totalt antal brott;2016 prel.;Jan;155;889;
Burlöv kommun;Våldsbrott ;2016 prel.;Jan;16;92;
Burlöv kommun;Hot-, kränknings- och frihetsbrott;2016 prel.;Jan;19;109;
Burlöv kommun;Vårdslöshet- och vållandebrott;2016 prel.;Jan;1;6;
Burlöv kommun;Stöldbrott;2016 prel.;Jan;73;419;
Burlöv kommun;Bilbrott;2016 prel.;Jan;17;98;
Burlöv kommun;Skadegörelsebrott (inkl. mordbrand);2016 prel.;Jan;19;109;
Burlöv kommun;Vissa trafikbrott;2016 prel.;Jan;9;52;
